method_name,scenario_class,n_runs,feasible_runs,feasibility_rate
no_unpairing,n50_p0.75_d2_uniform_Emedium_V2.00_Hshort_PWbase_B0.10,1,1,1.0
paired_baseline,n15_p0.25_d1_uniform_Ehigh_V2.00_Hshort_PWbase_B0.10,1,1,1.0
paired_baseline,n15_p0.25_d1_uniform_Emedium_V1.25_Hmedium_PWmoderate_B0.10,1,1,1.0
paired_baseline,n15_p0.75_d1_uniform_Ehigh_V1.25_Hshort_PWmoderate_B0.10,1,1,1.0
paired_baseline,n15_p0.75_d1_uniform_Emedium_V2.00_Hmedium_PWmoderate_B0.10,1,1,1.0
paired_baseline,n50_p0.25_d1_uniform_Ehigh_V1.25_Hmedium_PWmoderate_B0.10,1,1,1.0
paired_baseline,n50_p0.25_d1_uniform_Emedium_V2.00_Hshort_PWbase_B0.10,1,1,1.0
paired_baseline,n50_p0.25_d2_uniform_Ehigh_V1.25_Hshort_PWbase_B0.10,1,1,1.0
paired_baseline,n50_p0.25_d2_uniform_Ehigh_V2.00_Hmedium_PWmoderate_B0.10,1,1,1.0
paired_baseline,n50_p0.25_d2_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,1,1,1.0
paired_baseline,n50_p0.75_d1_uniform_Ehigh_V2.00_Hmedium_PWbase_B0.10,1,1,1.0
paired_baseline,n50_p0.75_d1_uniform_Emedium_V1.25_Hshort_PWmoderate_B0.10,1,1,1.0
paired_baseline,n50_p0.75_d2_uniform_Ehigh_V1.25_Hmedium_PWbase_B0.10,1,1,1.0
paired_baseline,n50_p0.75_d2_uniform_Ehigh_V2.00_Hshort_PWmoderate_B0.10,1,1,1.0
paired_baseline,n50_p0.75_d2_uniform_Emedium_V2.00_Hshort_PWbase_B0.10,1,1,1.0
simple_drone,n15_p0.25_d1_uniform_Ehigh_V2.00_Hshort_PWbase_B0.10,1,1,1.0
simple_drone,n15_p0.25_d1_uniform_Emedium_V1.25_Hmedium_PWmoderate_B0.10,1,1,1.0
simple_drone,n15_p0.75_d1_uniform_Ehigh_V1.25_Hshort_PWmoderate_B0.10,1,1,1.0
simple_drone,n15_p0.75_d1_uniform_Emedium_V2.00_Hmedium_PWmoderate_B0.10,1,1,1.0
simple_drone,n50_p0.25_d1_uniform_Ehigh_V1.25_Hmedium_PWmoderate_B0.10,1,1,1.0
simple_drone,n50_p0.25_d1_uniform_Emedium_V2.00_Hshort_PWbase_B0.10,1,1,1.0
simple_drone,n50_p0.25_d2_uniform_Ehigh_V1.25_Hshort_PWbase_B0.10,1,1,1.0
simple_drone,n50_p0.25_d2_uniform_Ehigh_V2.00_Hmedium_PWmoderate_B0.10,1,1,1.0
simple_drone,n50_p0.25_d2_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,1,1,1.0
simple_drone,n50_p0.75_d1_uniform_Ehigh_V2.00_Hmedium_PWbase_B0.10,1,1,1.0
simple_drone,n50_p0.75_d1_uniform_Emedium_V1.25_Hshort_PWmoderate_B0.10,1,1,1.0
simple_drone,n50_p0.75_d2_uniform_Ehigh_V1.25_Hmedium_PWbase_B0.10,1,1,1.0
simple_drone,n50_p0.75_d2_uniform_Ehigh_V2.00_Hshort_PWmoderate_B0.10,1,1,1.0
simple_drone,n50_p0.75_d2_uniform_Emedium_V2.00_Hshort_PWbase_B0.10,1,1,1.0
truck_only,n15_p0.25_d1_uniform_Ehigh_V2.00_Hshort_PWbase_B0.10,1,1,1.0
truck_only,n15_p0.25_d1_uniform_Emedium_V1.25_Hmedium_PWmoderate_B0.10,1,1,1.0
truck_only,n15_p0.75_d1_uniform_Ehigh_V1.25_Hshort_PWmoderate_B0.10,1,1,1.0
truck_only,n15_p0.75_d1_uniform_Emedium_V2.00_Hmedium_PWmoderate_B0.10,1,1,1.0
truck_only,n50_p0.25_d1_uniform_Ehigh_V1.25_Hmedium_PWmoderate_B0.10,1,1,1.0
truck_only,n50_p0.25_d1_uniform_Emedium_V2.00_Hshort_PWbase_B0.10,1,1,1.0
truck_only,n50_p0.25_d2_uniform_Ehigh_V1.25_Hshort_PWbase_B0.10,1,1,1.0
truck_only,n50_p0.25_d2_uniform_Ehigh_V2.00_Hmedium_PWmoderate_B0.10,1,1,1.0
truck_only,n50_p0.25_d2_uniform_Emedium_V2.00_Hmedium_PWbase_B0.10,1,1,1.0
truck_only,n50_p0.75_d1_uniform_Ehigh_V2.00_Hmedium_PWbase_B0.10,1,1,1.0
truck_only,n50_p0.75_d1_uniform_Emedium_V1.25_Hshort_PWmoderate_B0.10,1,1,1.0
truck_only,n50_p0.75_d2_uniform_Ehigh_V1.25_Hmedium_PWbase_B0.10,1,1,1.0
truck_only,n50_p0.75_d2_uniform_Ehigh_V2.00_Hshort_PWmoderate_B0.10,1,1,1.0
truck_only,n50_p0.75_d2_uniform_Emedium_V2.00_Hshort_PWbase_B0.10,1,1,1.0
