method_name,scenario_class,n_runs,feasible_runs,feasibility_rate
nils,n15_p0.75_d1_clustered_Emedium_V1.25_Hmedium_PWbase_B0.20,10,10,1.0
nils,n15_p0.75_d1_clustered_Emedium_V1.25_Hshort_PWmoderate_B0.20,10,10,1.0
nils,n15_p0.75_d1_uniform_Ehigh_V1.25_Hmedium_PWflat_B0.20,10,10,1.0
nils,n15_p0.75_d1_uniform_Ehigh_V1.25_Hmedium_PWmoderate_B0.20,10,10,1.0
nils,n15_p0.75_d1_uniform_Ehigh_V2.00_Hshort_PWstrict_B0.20,10,10,1.0
nils,n15_p0.75_d1_uniform_Emedium_V1.25_Hlong_PWflat_B0.20,10,10,1.0
nils,n50_p0.25_d1_clustered_Elow_V1.25_Hshort_PWflat_B0.20,10,10,1.0
nils,n50_p0.25_d1_clustered_Emedium_V1.25_Hmedium_PWstrict_B0.20,10,10,1.0
nils,n50_p0.25_d1_uniform_Ehigh_V1.25_Hlong_PWstrict_B0.20,10,10,1.0
nils,n50_p0.25_d1_uniform_Emedium_V1.25_Hmedium_PWmoderate_B0.20,10,10,1.0
nils,n50_p0.25_d1_uniform_Emedium_V2.00_Hmedium_PWmoderate_B0.20,10,10,1.0
nils,n50_p0.75_d1_clustered_Ehigh_V2.00_Hshort_PWmoderate_B0.20,10,10,1.0
nils,n50_p0.75_d1_clustered_Elow_V1.25_Hmedium_PWflat_B0.20,10,10,1.0
nils,n50_p0.75_d1_uniform_Ehigh_V2.00_Hlong_PWflat_B0.20,10,10,1.0
nils,n50_p0.75_d1_uniform_Elow_V1.25_Hshort_PWstrict_B0.20,10,10,1.0
nils,n50_p0.75_d1_uniform_Elow_V2.00_Hlong_PWbase_B0.20,10,10,1.0
nils,n50_p0.75_d1_uniform_Emedium_V2.00_Hmedium_PWbase_B0.20,10,10,1.0
nils,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWbase_B0.20,10,10,1.0
nils,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWstrict_B0.20,10,10,1.0
truck_only,n100_p0.25_d3_uniform_Ehigh_V1.25_Hmedium_PWstrict_B0.20,10,0,0.0
truck_only,n100_p0.25_d3_uniform_Ehigh_V1.25_Hshort_PWflat_B0.20,10,0,0.0
truck_only,n100_p0.25_d3_uniform_Ehigh_V2.00_Hlong_PWbase_B0.20,10,0,0.0
truck_only,n100_p0.25_d3_uniform_Elow_V2.00_Hlong_PWmoderate_B0.20,10,0,0.0
truck_only,n100_p0.25_d3_uniform_Elow_V2.00_Hlong_PWstrict_B0.20,10,0,0.0
truck_only,n100_p0.25_d3_uniform_Elow_V2.00_Hmedium_PWbase_B0.20,10,0,0.0
truck_only,n100_p0.25_d3_uniform_Emedium_V1.25_Hshort_PWbase_B0.20,10,0,0.0
truck_only,n100_p0.25_d3_uniform_Emedium_V2.00_Hshort_PWflat_B0.20,10,0,0.0
truck_only,n100_p0.75_d3_uniform_Ehigh_V1.25_Hlong_PWbase_B0.20,10,0,0.0
truck_only,n100_p0.75_d3_uniform_Ehigh_V1.25_Hmedium_PWmoderate_B0.20,10,0,0.0
truck_only,n100_p0.75_d3_uniform_Ehigh_V2.00_Hshort_PWmoderate_B0.20,10,0,0.0
truck_only,n100_p0.75_d3_uniform_Elow_V1.25_Hmedium_PWbase_B0.20,10,0,0.0
truck_only,n100_p0.75_d3_uniform_Elow_V1.25_Hshort_PWflat_B0.20,10,0,0.0
truck_only,n100_p0.75_d3_uniform_Elow_V2.00_Hlong_PWmoderate_B0.20,10,0,0.0
truck_only,n100_p0.75_d3_uniform_Elow_V2.00_Hshort_PWstrict_B0.20,10,0,0.0
truck_only,n100_p0.75_d3_uniform_Emedium_V1.25_Hmedium_PWstrict_B0.20,10,0,0.0
truck_only,n100_p0.75_d3_uniform_Emedium_V2.00_Hlong_PWflat_B0.20,10,0,0.0
truck_only,n100_p0.75_d3_uniform_Emedium_V2.00_Hmedium_PWstrict_B0.20,10,0,0.0
truck_only,n100_p0.25_d3_uniform_Emedium_V1.25_Hlong_PWmoderate_B0.20,10,1,0.1
truck_only,n75_p0.25_d3_uniform_Elow_V1.25_Hshort_PWbase_B0.20,10,2,0.2
truck_only,n75_p0.25_d3_uniform_Elow_V1.25_Hlong_PWmoderate_B0.20,10,4,0.4
truck_only,n75_p0.75_d3_uniform_Ehigh_V2.00_Hshort_PWmoderate_B0.20,10,5,0.5
truck_only,n75_p0.25_d3_uniform_Ehigh_V2.00_Hmedium_PWflat_B0.20,10,6,0.6
truck_only,n75_p0.25_d3_uniform_Ehigh_V2.00_Hmedium_PWstrict_B0.20,10,6,0.6
truck_only,n75_p0.25_d3_uniform_Emedium_V1.25_Hlong_PWmoderate_B0.20,10,6,0.6
truck_only,n75_p0.75_d3_uniform_Elow_V1.25_Hlong_PWbase_B0.20,10,7,0.7
truck_only,n75_p0.75_d3_uniform_Emedium_V2.00_Hmedium_PWflat_B0.20,10,7,0.7
truck_only,n50_p0.75_d1_uniform_Elow_V1.25_Hlong_PWstrict_B0.20,10,8,0.8
truck_only,n50_p0.25_d1_clustered_Ehigh_V2.00_Hshort_PWflat_B0.20,10,9,0.9
truck_only,n50_p0.25_d1_clustered_Emedium_V1.25_Hmedium_PWstrict_B0.20,10,9,0.9
truck_only,n50_p0.25_d1_uniform_Ehigh_V1.25_Hlong_PWstrict_B0.20,10,9,0.9
truck_only,n50_p0.25_d1_uniform_Elow_V2.00_Hmedium_PWbase_B0.20,10,9,0.9
truck_only,n50_p0.25_d2_clustered_Emedium_V2.00_Hshort_PWstrict_B0.20,10,9,0.9
truck_only,n50_p0.75_d1_uniform_Ehigh_V2.00_Hlong_PWflat_B0.20,10,9,0.9
truck_only,n50_p0.75_d1_uniform_Emedium_V1.25_Hshort_PWmoderate_B0.20,10,9,0.9
truck_only,n50_p0.75_d1_uniform_Emedium_V2.00_Hmedium_PWbase_B0.20,10,9,0.9
truck_only,n75_p0.75_d3_uniform_Emedium_V1.25_Hlong_PWflat_B0.20,10,9,0.9
truck_only,n15_p0.25_d1_clustered_Ehigh_V1.25_Hmedium_PWbase_B0.20,10,10,1.0
truck_only,n15_p0.25_d1_clustered_Ehigh_V2.00_Hmedium_PWmoderate_B0.20,10,10,1.0
truck_only,n15_p0.25_d1_clustered_Elow_V1.25_Hmedium_PWstrict_B0.20,10,10,1.0
truck_only,n15_p0.25_d1_clustered_Elow_V1.25_Hshort_PWmoderate_B0.20,10,10,1.0
truck_only,n15_p0.25_d1_uniform_Ehigh_V1.25_Hlong_PWbase_B0.20,10,10,1.0
truck_only,n15_p0.25_d1_uniform_Ehigh_V1.25_Hshort_PWflat_B0.20,10,10,1.0
truck_only,n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWflat_B0.20,10,10,1.0
truck_only,n15_p0.25_d1_uniform_Elow_V2.00_Hshort_PWmoderate_B0.20,10,10,1.0
truck_only,n15_p0.25_d1_uniform_Emedium_V1.25_Hshort_PWbase_B0.20,10,10,1.0
truck_only,n15_p0.25_d1_uniform_Emedium_V2.00_Hlong_PWflat_B0.20,10,10,1.0
truck_only,n15_p0.25_d1_uniform_Emedium_V2.00_Hlong_PWstrict_B0.20,10,10,1.0
truck_only,n15_p0.75_d1_clustered_Elow_V2.00_Hmedium_PWflat_B0.20,10,10,1.0
truck_only,n15_p0.75_d1_clustered_Elow_V2.00_Hmedium_PWmoderate_B0.20,10,10,1.0
truck_only,n15_p0.75_d1_clustered_Emedium_V1.25_Hmedium_PWbase_B0.20,10,10,1.0
truck_only,n15_p0.75_d1_clustered_Emedium_V1.25_Hshort_PWmoderate_B0.20,10,10,1.0
truck_only,n15_p0.75_d1_clustered_Emedium_V2.00_Hshort_PWbase_B0.20,10,10,1.0
truck_only,n15_p0.75_d1_clustered_Emedium_V2.00_Hshort_PWstrict_B0.20,10,10,1.0
truck_only,n15_p0.75_d1_uniform_Ehigh_V1.25_Hmedium_PWflat_B0.20,10,10,1.0
truck_only,n15_p0.75_d1_uniform_Ehigh_V1.25_Hmedium_PWmoderate_B0.20,10,10,1.0
truck_only,n15_p0.75_d1_uniform_Ehigh_V2.00_Hlong_PWstrict_B0.20,10,10,1.0
truck_only,n15_p0.75_d1_uniform_Ehigh_V2.00_Hshort_PWstrict_B0.20,10,10,1.0
truck_only,n15_p0.75_d1_uniform_Elow_V1.25_Hshort_PWstrict_B0.20,10,10,1.0
truck_only,n15_p0.75_d1_uniform_Emedium_V1.25_Hlong_PWflat_B0.20,10,10,1.0
truck_only,n50_p0.25_d1_clustered_Ehigh_V2.00_Hshort_PWbase_B0.20,10,10,1.0
truck_only,n50_p0.25_d1_clustered_Elow_V1.25_Hshort_PWflat_B0.20,10,10,1.0
truck_only,n50_p0.25_d1_uniform_Emedium_V1.25_Hmedium_PWmoderate_B0.20,10,10,1.0
truck_only,n50_p0.25_d1_uniform_Emedium_V2.00_Hmedium_PWmoderate_B0.20,10,10,1.0
truck_only,n50_p0.25_d2_clustered_Elow_V1.25_Hmedium_PWflat_B0.20,10,10,1.0
truck_only,n50_p0.75_d1_clustered_Ehigh_V2.00_Hshort_PWmoderate_B0.20,10,10,1.0
truck_only,n50_p0.75_d1_clustered_Elow_V1.25_Hmedium_PWflat_B0.20,10,10,1.0
truck_only,n50_p0.75_d1_uniform_Elow_V1.25_Hshort_PWstrict_B0.20,10,10,1.0
truck_only,n50_p0.75_d1_uniform_Elow_V2.00_Hlong_PWbase_B0.20,10,10,1.0
truck_only,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWbase_B0.20,10,10,1.0
truck_only,n50_p0.75_d2_clustered_Ehigh_V1.25_Hshort_PWstrict_B0.20,10,10,1.0
truck_only,n50_p0.75_d2_uniform_Elow_V2.00_Hmedium_PWbase_B0.20,10,10,1.0
